seed,episode,total_steps,ret,length,terminal_cause,n_awake,n_nrem,n_rem,mean_overload,mean_recall
1,178,3680,-95.5875,22,energy,18,1,3,0.5994318181818182,0.9715909090909091
1,179,3695,-98.55625,15,overload,11,1,3,0.6104166666666667,1.0
1,180,3703,-97.84375,8,overload,8,0,0,0.73046875,1.0
1,181,3717,-98.753125,14,overload,11,2,1,0.6752232142857143,1.0
1,182,3729,-96.90625,12,overload,12,0,0,0.7421875,0.9895833333333334
1,183,3742,-98.903125,13,overload,11,2,0,0.7463942307692307,0.9519230769230769
1,184,3754,-96.646875,12,overload,11,0,1,0.62890625,0.9895833333333334
1,185,3772,-95.278125,18,energy,16,0,2,0.6154513888888888,1.0
1,186,3785,-97.4125,13,overload,12,1,0,0.7163461538461539,0.9230769230769231
1,187,3801,-96.29375,16,overload,14,0,2,0.630859375,0.9921875
1,188,3819,-96.35,18,energy,17,0,1,0.7361111111111112,1.0
1,189,3835,-97.60625,16,overload,14,2,0,0.712890625,0.953125
1,190,3867,-97.103125,32,energy,23,4,5,0.60009765625,0.98828125
1,191,3881,-98.36875,14,overload,10,2,2,0.5691964285714286,0.9375
1,192,3920,-97.440625,39,energy,26,6,7,0.5677083333333334,1.0
1,193,3939,-96.253125,19,energy,16,0,3,0.6291118421052632,0.9868421052631579
1,194,3951,-97.075,12,overload,10,1,1,0.5729166666666666,1.0
1,195,3961,-98.44375,10,overload,9,1,0,0.734375,0.9875
1,196,3972,-98.334375,11,overload,10,1,0,0.7485795454545454,0.9204545454545454
1,197,3987,-97.778125,15,overload,13,0,2,0.7052083333333333,0.9833333333333333
1,198,4004,-95.7,17,overload,15,0,2,0.6176470588235294,0.9779411764705882
1,199,4024,-97.0625,20,energy,15,0,5,0.578125,0.9875
1,200,4039,-97.965625,15,overload,13,1,1,0.7177083333333333,0.975
1,201,4065,-95.146875,26,energy,20,2,4,0.5594951923076923,0.9903846153846154
1,202,4089,-98.225,24,overload,18,2,4,0.6510416666666666,0.984375
1,203,4112,-98.228125,23,energy,19,2,2,0.7316576086956522,1.0
1,204,4133,-95.559375,21,energy,19,1,1,0.6837797619047619,1.0
1,205,4150,-98.634375,17,overload,13,3,1,0.6608455882352942,0.9852941176470589
1,206,4171,-95.971875,21,energy,18,1,2,0.6510416666666666,0.9642857142857143
1,207,4182,-97.328125,11,overload,11,0,0,0.7571022727272727,1.0
1,208,4205,-95.65625,23,energy,18,1,4,0.5720108695652174,1.0
1,209,4223,-97.55,18,overload,15,1,2,0.6805555555555556,0.9513888888888888
1,210,4245,-96.275,22,energy,18,1,3,0.6306818181818182,0.9886363636363636
1,211,4265,-98.24375,20,energy,16,1,3,0.6921875,0.975
1,212,4279,-98.565625,14,overload,11,2,1,0.6618303571428571,1.0
1,213,4297,-97.415625,18,overload,14,1,3,0.6119791666666666,0.9583333333333334
1,214,4318,-96.190625,21,energy,18,1,2,0.6614583333333334,0.9702380952380952
1,215,4344,-94.021875,26,energy,20,2,4,0.5162259615384616,1.0
1,216,4358,-97.709375,14,overload,13,1,0,0.7578125,0.9196428571428571
1,217,4375,-99.003125,17,overload,14,2,1,0.7472426470588235,0.9485294117647058
1,218,4384,-98.803125,9,overload,8,1,0,0.7447916666666666,1.0
1,219,4411,-95.8125,27,energy,22,3,2,0.6412037037037037,0.9722222222222222
1,220,4433,-97.025,22,energy,18,1,3,0.6647727272727273,1.0
1,221,4455,-96.81875,22,energy,16,1,5,0.5553977272727273,1.0
1,222,4477,-96.634375,22,energy,18,1,3,0.6470170454545454,0.9602272727272727
1,223,4486,-98.75625,9,overload,8,1,0,0.7395833333333334,1.0
1,224,4504,-99.703125,18,overload,13,2,3,0.6779513888888888,0.9791666666666666
1,225,4514,-97.171875,10,overload,10,0,0,0.7171875,0.975
1,226,4534,-97.321875,20,energy,16,0,4,0.64609375,1.0
1,227,4540,-98.203125,6,overload,6,0,0,0.7005208333333334,1.0
1,228,4564,-95.715625,24,energy,17,2,5,0.5006510416666666,0.9947916666666666
1,229,4586,-95.603125,22,energy,18,1,3,0.6001420454545454,1.0
1,230,4597,-97.234375,11,overload,11,0,0,0.7485795454545454,0.9772727272727273
1,231,4615,-95.146875,18,energy,17,0,1,0.6692708333333334,1.0
1,232,4635,-95.946875,20,energy,16,0,4,0.57734375,0.9875
1,233,4653,-95.8875,18,energy,16,0,2,0.6493055555555556,0.9375
1,234,4664,-99.175,11,overload,8,1,2,0.625,0.9886363636363636
1,235,4683,-95.128125,19,overload,16,1,2,0.5699013157894737,0.9868421052631579
1,236,4702,-96.503125,19,energy,16,0,3,0.6422697368421053,1.0
1,237,4724,-95.18125,22,energy,18,2,2,0.5809659090909091,0.9602272727272727
1,238,4734,-99.496875,10,overload,8,2,0,0.7296875,0.9625
1,239,4762,-95.628125,28,energy,20,3,5,0.5295758928571429,0.9955357142857143
1,240,4775,-96.553125,13,overload,12,0,1,0.6502403846153846,0.9711538461538461
1,241,4786,-96.6875,11,overload,11,0,0,0.6988636363636364,0.9886363636363636
1,242,4811,-99.421875,25,energy,20,2,3,0.756875,0.925
1,243,4834,-96.515625,23,energy,18,1,4,0.609375,1.0
1,244,4846,-98.60625,12,overload,10,1,1,0.7005208333333334,0.9791666666666666
1,245,4856,-98.0,10,overload,10,0,0,0.8,0.9125
1,246,4877,-95.89375,21,energy,18,1,2,0.6473214285714286,0.9880952380952381
1,247,4886,-98.69375,9,overload,8,1,0,0.7326388888888888,0.9444444444444444
1,248,4901,-99.14375,15,overload,12,3,0,0.7229166666666667,0.9416666666666667
1,249,4919,-93.809375,18,energy,16,0,2,0.5338541666666666,1.0
1,250,4931,-98.73125,12,overload,10,2,0,0.7109375,0.9583333333333334
1,251,4949,-95.23125,18,energy,16,0,2,0.6128472222222222,0.9861111111111112
1,252,4959,-97.625,10,overload,10,0,0,0.7625,0.9625
1,253,4985,-96.975,26,energy,20,2,4,0.6298076923076923,0.9951923076923077
1,254,5011,-98.371875,26,energy,19,2,5,0.6412259615384616,0.9807692307692307
1,255,5032,-96.7375,21,energy,18,1,2,0.6875,0.9880952380952381
1,256,5050,-96.16875,18,energy,16,0,2,0.6649305555555556,0.9722222222222222
1,257,5063,-98.371875,13,overload,11,1,1,0.7055288461538461,0.9711538461538461
1,258,5074,-98.44375,11,overload,10,1,0,0.7585227272727273,0.9318181818181818
1,259,5091,-97.54375,17,overload,15,1,1,0.7261029411764706,0.8970588235294118
1,260,5109,-94.928125,18,energy,17,0,1,0.6571180555555556,0.9930555555555556
1,261,5120,-96.953125,11,overload,11,0,0,0.7230113636363636,0.9431818181818182
1,262,5125,-98.40625,5,overload,5,0,0,0.68125,1.0
1,263,5137,-98.075,12,overload,10,1,1,0.65625,0.96875
1,264,5150,-98.23125,13,overload,11,0,2,0.6947115384615384,0.9903846153846154
1,265,5155,-98.975,5,overload,4,1,0,0.575,1.0
1,266,5166,-98.115625,11,overload,10,1,0,0.7286931818181818,1.0
1,267,5182,-97.20625,16,overload,13,2,1,0.619140625,0.9921875
1,268,5197,-96.309375,15,overload,13,0,2,0.6072916666666667,0.9583333333333334
1,269,5204,-98.56875,7,overload,6,0,1,0.6383928571428571,0.9821428571428571
1,270,5214,-98.396875,10,overload,9,1,0,0.7296875,1.0
